Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
			acquisition-VARIANTRepetitionTimeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__25	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	25	7	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010912		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__26	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	26	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010888		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__27	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	27	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010868		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__28	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	28	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010864		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__29	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	29	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01088		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__30	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	30	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010952		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__31	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	31	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010872		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__32	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	32	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01102		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__33	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	33	6	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010892		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__34	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	34	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010956		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__35	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	35	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010916		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__36	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	36	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__37	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	37	6	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01104		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__38	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	38	6	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010964		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__39	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	39	6	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011024		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__40	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	40	6	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011016		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__41	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	41	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010864		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__42	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	42	6	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010928		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__43	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	43	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010856		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__44	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	44	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010972		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__45	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	45	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011016		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__46	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	46	5	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01094		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__47	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	47	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010992		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__48	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	48	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010828		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__49	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	49	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01096		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__50	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	50	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010968		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__51	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	51	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010868		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__52	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	52	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010976		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__53	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	53	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010876		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__54	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	54	5	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010968		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__55	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	55	5	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010952		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__56	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	56	5	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010988		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__57	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	57	5	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010924		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__58	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	58	5	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010852		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__59	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	59	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01092		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__60	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	60	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011088		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__61	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	61	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010856		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__62	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	62	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010996		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__63	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	63	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__64	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	64	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011032		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__65	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	65	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010908		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__66	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	66	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.0109		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__67	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	67	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010936		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__68	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	68	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010916		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__69	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	69	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010884		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__70	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	70	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01098		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__71	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	71	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01108		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__72	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	72	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011012		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__73	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	73	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011052		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__74	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	74	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010932		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__75	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	75	4	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010896		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__76	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	76	4	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01086		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__77	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	77	3	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011056		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__78	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	78	3	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.011104		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__79	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	79	3	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010932		False	0.938	0.938	1.2
